x,y
127,50
127,51
127,53
127,93
127,95
127,104
127,106
127,107
127,147
127,149
127,184
127,186
127,249
127,251
128,27
128,30
128,31
128,50
128,52
128,93
128,95
128,104
128,107
128,147
128,150
128,184
128,186
128,249
128,251
129,28
129,31
129,32
129,50
129,52
129,92
129,93
129,95
129,105
129,107
129,108
129,148
129,150
129,184
129,186
129,249
129,251
130,29
130,32
130,33
130,50
130,52
130,91
130,92
130,95
130,106
130,108
130,148
130,150
130,184
130,186
130,249
130,251
131,30
131,33
131,34
131,50
131,52
131,90
131,91
131,94
131,106
131,108
131,148
131,151
131,184
131,186
131,249
131,251
132,30
132,31
132,34
132,35
132,50
132,52
132,89
132,90
132,93
132,106
132,149
132,151
132,184
132,186
132,249
132,251
133,31
133,32
133,35
133,36
133,50
133,52
133,88
133,92
133,107
133,109
133,149
133,151
133,183
133,186
133,249
133,251
134,33
134,36
134,37
134,50
134,52
134,86
134,87
134,90
134,107
134,109
134,149
134,151
134,183
134,185
134,249
134,251
135,34
135,37
135,50
135,52
135,85
135,88
135,89
135,107
135,109
135,149
135,151
135,183
135,185
135,249
135,251
136,35
136,38
136,50
136,53
136,84
136,87
136,88
136,107
136,110
136,152
136,183
136,186
136,249
136,251
137,35
137,37
137,51
137,53
137,83
137,86
137,108
137,110
137,150
137,152
137,184
137,186
137,249
137,251
138,35
138,37
138,51
138,53
138,83
138,85
138,86
138,108
138,110
138,150
138,152
138,183
138,186
138,249
138,251
139,35
139,37
139,51
139,53
139,82
139,85
139,108
139,110
139,150
139,152
139,184
139,186
139,249
139,251
140,34
140,37
140,54
140,82
140,84
140,109
140,111
140,152
140,184
140,186
140,249
140,251
141,34
141,36
141,52
141,54
141,82
141,85
141,109
141,111
141,151
141,153
141,184
141,186
141,249
141,251
142,34
142,36
142,52
142,55
142,83
142,85
142,109
142,112
142,113
142,114
142,115
142,117
142,119
142,151
142,154
142,184
142,186
142,249
142,251
143,33
143,36
143,53
143,55
143,83
143,85
143,105
143,106
143,107
143,108
143,110
143,115
143,118
143,152
143,154
143,184
143,186
143,249
143,251
144,32
144,33
144,35
144,53
144,55
144,83
144,86
144,109
144,112
144,113
144,114
144,117
144,119
144,152
144,154
144,184
144,186
144,249
144,251
145,32
145,35
145,53
145,55
145,83
145,86
145,106
145,107
145,111
145,112
145,184
